EmployerId,Offered,Status
569762,ProductX,Lost
466073014,ProductX,Lost
505151962,ProductX,Lost
669428823,ProductX,Lost
320887182,ProductX,Sold
605954510,ProductX,Lost
684744926,ProductX,Lost
151993030,ProductX,Lost
500059580,ProductX,Sold
403840196,ProductX,Lost
851790,ProductX,Lost
68505605,ProductX,Lost
392618411,ProductX,Sold
777882,ProductX,Lost
698419223,ProductX,Sold
496397979,ProductX,Lost
698413376,ProductX,Sold
714090,ProductX,Lost
450865984,ProductX,Lost
544059,ProductX,Lost
653639247,ProductX,Lost
696264975,ProductX,Lost
590371,ProductX,Lost
762067,ProductX,Lost
669058,ProductX,Lost
23022916,ProductX,Lost
423957874,ProductX,Lost
655167962,ProductX,Sold
391178932,ProductX,Lost
615616725,ProductX,Lost
349291969,ProductX,Lost
771366,ProductX,Lost
506011895,ProductX,Lost
683345,ProductX,Lost
699863,ProductX,Lost
704678645,ProductX,Sold
780180,ProductX,Sold
390972284,ProductX,Lost
558639,ProductX,Lost
534590106,ProductX,Lost
586658,ProductX,Lost
775743,ProductX,Lost
70482513,ProductX,Lost
14576716,ProductX,Sold
300512128,ProductX,Lost
65971958,ProductX,Lost
420660815,ProductX,Lost
667812580,ProductX,Lost
388684740,ProductX,Sold
83666158,ProductX,Lost
491452439,ProductX,Sold
593276095,ProductX,Lost
656612505,ProductX,Sold
269876975,ProductX,Lost
602026944,ProductX,Lost
683179657,ProductX,Sold
703130,ProductX,Lost
497299,ProductX,Lost
648580,ProductX,Sold
530592088,ProductX,Lost
691507002,ProductX,Sold
34654246,ProductX,Sold
491511,ProductX,Lost
274204594,ProductX,Lost
739080,ProductX,Sold
650590678,ProductX,Lost
534124599,ProductX,Lost
618848718,ProductX,Sold
659315267,ProductX,Lost
707115428,ProductX,Lost
804739,ProductX,Lost
660993588,ProductX,Sold
652733463,ProductX,Lost
732197,ProductX,Lost
533449,ProductX,Lost
670661791,ProductX,Sold
326733830,ProductX,Lost
677499093,ProductX,Lost
281422713,ProductX,Lost
360204079,ProductX,Lost
526388,ProductX,Sold
449087890,ProductX,Lost
827994,ProductX,Lost
647929251,ProductX,Sold
662294303,ProductX,Lost
666814549,ProductX,Sold
509732597,ProductX,Lost
627091286,ProductX,Lost
259565403,ProductX,Sold
617665,ProductX,Sold
597934414,ProductX,Lost
83477678,ProductX,Lost
801867,ProductX,Lost
347016222,ProductX,Lost
557370715,ProductX,Lost
614565751,ProductX,Sold
613811043,ProductX,Lost
515348,ProductX,Lost
697457006,ProductX,Sold
615707728,ProductX,Sold
463815944,ProductX,Lost
135265260,ProductX,Lost
694043,ProductX,Lost
334086624,ProductX,Lost
544861430,ProductX,Lost
608289,ProductX,Lost
207876346,ProductX,Lost
470424,ProductX,Sold
571693,ProductX,Lost
729623,ProductX,Lost
788635,ProductX,Lost
801820,ProductX,Lost
211888684,ProductX,Lost
650460868,ProductX,Lost
530092,ProductX,Lost
849159,ProductX,Lost
195317859,ProductX,Lost
145662395,ProductX,Lost
289513881,ProductX,Lost
812750,ProductX,Lost
282973511,ProductX,Lost
237556451,ProductX,Lost
455653,ProductX,Lost
536921820,ProductX,Lost
616640641,ProductX,Sold
841817,ProductX,Lost
626757011,ProductX,Sold
687566,ProductX,Lost
284345188,ProductX,Lost
245533410,ProductX,Lost
601002167,ProductX,Lost
562601308,ProductX,Sold
